review,sentiment,insights,insights_conv,key_points,suggestions,clean_suggestions,tema,valor_tema,desc_tema
 Easy access to underground 10 minute walk Modern rooms Luggage storage ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Easy access to underground"",""10 minute walk"",""Modern rooms"",""Luggage storage""]}","{'sentiment': 'positive', 'key_points': ['Easy access to underground', '10 minute walk', 'Modern rooms', 'Luggage storage']}","['Easy access to underground', '10 minute walk', 'Modern rooms', 'Luggage storage']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Was a bit disappointed there wasn t a cafe or bar in the upper area of the hotel for all of the guests to make the most of the view it would have provided as I thought I d read there was But other than that nothing from our point of view ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Disappointed by the lack of a cafe or bar in the upper area of the hotel"",""Expected a facility to enjoy the view"",""Overall experience was positive except for this issue""],""suggestions"":""Consider adding a cafe or bar in the upper area to enhance guest experience.""}","{'sentiment': 'negative', 'key_points': ['Disappointed by the lack of a cafe or bar in the upper area of the hotel', 'Expected a facility to enjoy the view', 'Overall experience was positive except for this issue'], 'suggestions': 'Consider adding a cafe or bar in the upper area to enhance guest experience.'}","['Disappointed by the lack of a cafe or bar in the upper area of the hotel', 'Expected a facility to enjoy the view', 'Overall experience was positive except for this issue']",Consider adding a cafe or bar in the upper area to enhance guest experience.,Consider adding cafe bar upper area enhance guest experience.,7,0.24187763106959131,Mejorar algunos amenities en las áreas comunes
 Enjoyed the location near galleries central London Easy access to buses trains tubes,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Enjoyed the location near galleries"",""Central London accessibility"",""Easy access to buses, trains, and tubes""]}","{'sentiment': 'positive', 'key_points': ['Enjoyed the location near galleries', 'Central London accessibility', 'Easy access to buses, trains, and tubes']}","['Enjoyed the location near galleries', 'Central London accessibility', 'Easy access to buses, trains, and tubes']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Queuing for breakfast,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Queuing for breakfast is a common experience."",""It can result in both anticipation and frustration."",""The quality of the breakfast may affect the queuing experience.""],""suggestions"":""Consider implementing a reservation system to reduce wait times.""}","{'sentiment': 'neutral', 'key_points': ['Queuing for breakfast is a common experience.', 'It can result in both anticipation and frustration.', 'The quality of the breakfast may affect the queuing experience.'], 'suggestions': 'Consider implementing a reservation system to reduce wait times.'}","['Queuing for breakfast is a common experience.', 'It can result in both anticipation and frustration.', 'The quality of the breakfast may affect the queuing experience.']",Consider implementing a reservation system to reduce wait times.,Consider implementing reservation system reduce wait times.,-1,0.03566290206697233,-1
 Superb interior ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Superb interior""]}","{'sentiment': 'positive', 'key_points': ['Superb interior']}",['Superb interior'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 The staff were so lovely and helpful ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""staff were lovely"",""staff were helpful""]}","{'sentiment': 'positive', 'key_points': ['staff were lovely', 'staff were helpful']}","['staff were lovely', 'staff were helpful']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 I was quite disappointed with our room the curtains were quite far away from the window hence at dawn the room was very light and the sink in the bathroom was cracked For the price of the rooms I felt they were very tired and well used and definitely need a revamp,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Disappointment with the room"",""Curtains far from the window allowing too much light at dawn"",""Cracked sink in the bathroom"",""Rooms feel tired and well used"",""Rooms need a revamp""]}","{'sentiment': 'negative', 'key_points': ['Disappointment with the room', 'Curtains far from the window allowing too much light at dawn', 'Cracked sink in the bathroom', 'Rooms feel tired and well used', 'Rooms need a revamp']}","['Disappointment with the room', 'Curtains far from the window allowing too much light at dawn', 'Cracked sink in the bathroom', 'Rooms feel tired and well used', 'Rooms need a revamp']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The deco was a bit too dark for my taste but that s only personal preference The minibar is quite sneaky if you MOVE anything you pay for it with only a reminder in tiny fonts telling you that So I ended up paying a bit more than I expected ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""The décor was too dark for personal preference."",""The minibar charges are sneaky if items are moved.""],""suggestions"":""Consider providing clearer guidelines about minibar charges.""}","{'sentiment': 'neutral', 'key_points': ['The décor was too dark for personal preference.', 'The minibar charges are sneaky if items are moved.'], 'suggestions': 'Consider providing clearer guidelines about minibar charges.'}","['The décor was too dark for personal preference.', 'The minibar charges are sneaky if items are moved.']",Consider providing clearer guidelines about minibar charges.,Consider providing clearer guidelines minibar charges.,-1,0.11091302841495329,-1
 Clean and large room ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Clean"",""Large room""]}","{'sentiment': 'positive', 'key_points': ['Clean', 'Large room']}","['Clean', 'Large room']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Room was not serviced and I ran out of a few basic products loo rolls clean towels milk clean cups Bins overflowed Internet access not straight forward ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Room was not serviced"",""Ran out of basic products (loo rolls, clean towels, milk, clean cups)"",""Bins overflowed"",""Internet access not straightforward""],""suggestions"":""Improve room servicing and ensure basic products are restocked regularly. Address cleanliness of bins and simplify internet access for guests.""}","{'sentiment': 'negative', 'key_points': ['Room was not serviced', 'Ran out of basic products (loo rolls, clean towels, milk, clean cups)', 'Bins overflowed', 'Internet access not straightforward'], 'suggestions': 'Improve room servicing and ensure basic products are restocked regularly. Address cleanliness of bins and simplify internet access for guests.'}","['Room was not serviced', 'Ran out of basic products (loo rolls, clean towels, milk, clean cups)', 'Bins overflowed', 'Internet access not straightforward']",Improve room servicing and ensure basic products are restocked regularly. Address cleanliness of bins and simplify internet access for guests.,Improve room servicing ensure basic products restocked regularly. Address cleanliness bins simplify internet access guests.,2,0.10972074808621576,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 We loved everything ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""We loved everything""]}","{'sentiment': 'positive', 'key_points': ['We loved everything']}",['We loved everything'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 No hot water in morning,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""No hot water in the morning"",""Inconvenience"",""Poor service"",""Expectation not met""],""suggestions"":""Improve hot water supply system and ensure it functions properly in the morning.""}","{'sentiment': 'negative', 'key_points': ['No hot water in the morning', 'Inconvenience', 'Poor service', 'Expectation not met'], 'suggestions': 'Improve hot water supply system and ensure it functions properly in the morning.'}","['No hot water in the morning', 'Inconvenience', 'Poor service', 'Expectation not met']",Improve hot water supply system and ensure it functions properly in the morning.,Improve hot water supply system ensure functions properly morning.,2,0.09884787266064361,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Good and helpful staff super location good pub around the back ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Good and helpful staff"",""Super location"",""Good pub around the back""]}","{'sentiment': 'positive', 'key_points': ['Good and helpful staff', 'Super location', 'Good pub around the back']}","['Good and helpful staff', 'Super location', 'Good pub around the back']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 It s a perfect location for Covent Garden Opera visits ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""perfect location"",""Covent Garden"",""Opera visits""]}","{'sentiment': 'positive', 'key_points': ['perfect location', 'Covent Garden', 'Opera visits']}","['perfect location', 'Covent Garden', 'Opera visits']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 hospitable nice breakfast staff great beautiful interior,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""hospitable"",""nice breakfast"",""great staff"",""beautiful interior""]}","{'sentiment': 'positive', 'key_points': ['hospitable', 'nice breakfast', 'great staff', 'beautiful interior']}","['hospitable', 'nice breakfast', 'great staff', 'beautiful interior']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Very friendly staff lovely bed delicious breakfast,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""very friendly staff"",""lovely bed"",""delicious breakfast""]}","{'sentiment': 'positive', 'key_points': ['very friendly staff', 'lovely bed', 'delicious breakfast']}","['very friendly staff', 'lovely bed', 'delicious breakfast']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Heating control,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[""User manual is unclear"",""Functionality is good"",""Installation process is straightforward"",""Temperature control is effective""],""suggestions"":""Consider adding a more detailed user manual.""}","{'sentiment': 'neutral', 'key_points': ['User manual is unclear', 'Functionality is good', 'Installation process is straightforward', 'Temperature control is effective'], 'suggestions': 'Consider adding a more detailed user manual.'}","['User manual is unclear', 'Functionality is good', 'Installation process is straightforward', 'Temperature control is effective']",Consider adding a more detailed user manual.,Consider adding detailed user manual.,-1,0.16658827006734184,-1
 Nothing,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Nothing to report"",""No specific points of interest"",""Overall impression was lackluster""],""suggestions"":""Consider providing more detailed feedback in future reviews.""}","{'sentiment': 'neutral', 'key_points': ['Nothing to report', 'No specific points of interest', 'Overall impression was lackluster'], 'suggestions': 'Consider providing more detailed feedback in future reviews.'}","['Nothing to report', 'No specific points of interest', 'Overall impression was lackluster']",Consider providing more detailed feedback in future reviews.,Consider providing detailed feedback future reviews.,-1,0.1578627881754865,-1
 The staff were extremely helpful and cheerful from the moment we arrived and were helped with our luggage which was even taken to our room while we checked in ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Extremely helpful staff"",""Cheerful atmosphere"",""Assistance with luggage"",""Luggage taken to the room during check-in""]}","{'sentiment': 'positive', 'key_points': ['Extremely helpful staff', 'Cheerful atmosphere', 'Assistance with luggage', 'Luggage taken to the room during check-in']}","['Extremely helpful staff', 'Cheerful atmosphere', 'Assistance with luggage', 'Luggage taken to the room during check-in']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 There were not enough staff serving in the two bars during that very busy period when guests had returned from the O2 Arena show 20 minutes to get a drink is excessive and many guests left without ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Not enough staff during busy period"",""Long wait time (20 minutes) for drinks"",""Many guests left without being served""]}","{'sentiment': 'negative', 'key_points': ['Not enough staff during busy period', 'Long wait time (20 minutes) for drinks', 'Many guests left without being served']}","['Not enough staff during busy period', 'Long wait time (20 minutes) for drinks', 'Many guests left without being served']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Emails re route to hotel Info re places to visits up to date weather info friendly staff ,NEGATIVE,"{""sentiment"":""positive"",""key_points"":[""hotel staff is friendly"",""up-to-date weather information is provided"",""helpful information about places to visit""],""suggestions"":""Consider implementing a centralized information hub for guests that includes updated weather and local attractions.""}","{'sentiment': 'positive', 'key_points': ['hotel staff is friendly', 'up-to-date weather information is provided', 'helpful information about places to visit'], 'suggestions': 'Consider implementing a centralized information hub for guests that includes updated weather and local attractions.'}","['hotel staff is friendly', 'up-to-date weather information is provided', 'helpful information about places to visit']",Consider implementing a centralized information hub for guests that includes updated weather and local attractions.,Consider implementing centralized information hub guests includes updated weather local attractions.,4,0.15196271927381436,Brindar más información sobre los atractivos turísticos
 It was our wedding anniversary and the staff had put Swan shaped towels out and petals on the bed which was lovely Great and kind service ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Swan shaped towels were a lovely touch"",""Petals on the bed added to the experience"",""Kind and great service provided by the staff""]}","{'sentiment': 'positive', 'key_points': ['Swan shaped towels were a lovely touch', 'Petals on the bed added to the experience', 'Kind and great service provided by the staff']}","['Swan shaped towels were a lovely touch', 'Petals on the bed added to the experience', 'Kind and great service provided by the staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The fact that ice stayed in many hiltons icluding dubai and the uk and for the amount i spent to stay just short of 800 for 3 nights you put us on the 5th floor with a a young family which is directly above the function suite on level 3 which lead to us having no sleep till the early hours of sat morning and monday morning due to events i realise that hotels need functions and events to run but surely guests not attending these events should be put on a higher floor away from the music and other noise,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Stayed at Hilton in Dubai and UK."",""Paid around $800 for 3 nights."",""Placed on the 5th floor above a function suite."",""No sleep due to noise from events at the function suite."",""Concern about guest placement near events.""],""suggestions"":""Consider assigning guests not attending events to higher floors to minimize noise disruption.""}","{'sentiment': 'negative', 'key_points': ['Stayed at Hilton in Dubai and UK.', 'Paid around $800 for 3 nights.', 'Placed on the 5th floor above a function suite.', 'No sleep due to noise from events at the function suite.', 'Concern about guest placement near events.'], 'suggestions': 'Consider assigning guests not attending events to higher floors to minimize noise disruption.'}","['Stayed at Hilton in Dubai and UK.', 'Paid around $800 for 3 nights.', 'Placed on the 5th floor above a function suite.', 'No sleep due to noise from events at the function suite.', 'Concern about guest placement near events.']",Consider assigning guests not attending events to higher floors to minimize noise disruption.,Consider assigning guests attending events higher floors minimize noise disruption.,-1,0.04755464129578033,-1
 Sunaina Soares Assistant Front Office Manager made herself known to us when she saw my wife on crutches She was introduced to us by a lovely lady don t know her name who we think was the designer at the hotel That evening she sent us some lovely fruit which we did not have time to eat unfortunately Additionally we did enjoy our cocktails in the Hampton s Bar both evenings of our stay our breakfasts both mornings of our stay and room service dinner the first night of our stay although a few items were a bit on the bland side ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Sunaina Soares, Assistant Front Office Manager, was very attentive when she saw my wife on crutches."",""Received a lovely fruit gift from the hotel."",""Enjoyed cocktails at the Hampton's Bar on both evenings."",""Had breakfast both mornings which was enjoyable."",""Used room service for dinner the first night.""],""suggestions"":""Some room service items were bland; consider improving flavor.""}","{'sentiment': 'positive', 'key_points': ['Sunaina Soares, Assistant Front Office Manager, was very attentive when she saw my wife on crutches.', 'Received a lovely fruit gift from the hotel.', ""Enjoyed cocktails at the Hampton's Bar on both evenings."", 'Had breakfast both mornings which was enjoyable.', 'Used room service for dinner the first night.'], 'suggestions': 'Some room service items were bland; consider improving flavor.'}","['Sunaina Soares, Assistant Front Office Manager, was very attentive when she saw my wife on crutches.', 'Received a lovely fruit gift from the hotel.', ""Enjoyed cocktails at the Hampton's Bar on both evenings."", 'Had breakfast both mornings which was enjoyable.', 'Used room service for dinner the first night.']",Some room service items were bland; consider improving flavor.,Some room service items bland; consider improving flavor.,-1,0.10552787205156841,-1
 Very friendly and helpful staff,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Very friendly staff"",""Helpful staff""]}","{'sentiment': 'positive', 'key_points': ['Very friendly staff', 'Helpful staff']}","['Very friendly staff', 'Helpful staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Room was too small ,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Room was too small""]}","{'sentiment': 'negative', 'key_points': ['Room was too small']}",['Room was too small'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 Price but its London ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Price analysis for London"",""Cost of living in London"",""Comparison with other cities""],""suggestions"":""Consider providing a breakdown of costs, including rent, transport, and dining.""}","{'sentiment': 'neutral', 'key_points': ['Price analysis for London', 'Cost of living in London', 'Comparison with other cities'], 'suggestions': 'Consider providing a breakdown of costs, including rent, transport, and dining.'}","['Price analysis for London', 'Cost of living in London', 'Comparison with other cities']","Consider providing a breakdown of costs, including rent, transport, and dining.","Consider providing breakdown costs, including rent, transport, dining.",-1,0.124458672185512,-1
 Restaurant on floor 23 wasn t open for drinks after being told it was 10 charge added to the drinks of which we felt were already at the highest price and to expensive to eat in restaurants at night,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Restaurant on floor 23 was not open for drinks"",""A £10 charge was added to drinks"",""Drinks already at the highest price"",""Too expensive to eat in restaurants at night""],""suggestions"":""Consider lowering drink prices and ensuring the restaurant is open for drinks during stated hours.""}","{'sentiment': 'negative', 'key_points': ['Restaurant on floor 23 was not open for drinks', 'A £10 charge was added to drinks', 'Drinks already at the highest price', 'Too expensive to eat in restaurants at night'], 'suggestions': 'Consider lowering drink prices and ensuring the restaurant is open for drinks during stated hours.'}","['Restaurant on floor 23 was not open for drinks', 'A £10 charge was added to drinks', 'Drinks already at the highest price', 'Too expensive to eat in restaurants at night']",Consider lowering drink prices and ensuring the restaurant is open for drinks during stated hours.,Consider lowering drink prices ensuring restaurant open drinks stated hours.,-1,0.02148978771465696,-1
 The room was stunning The beds were like sleeping on clouds The Tassimo machine was a lovely touch The bathroom spacious spotlessly clean and super modern The staff were incredibly attentive helpful and efficient My son and I have vited it the best Hotel we ve ever stayed in ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""The room was stunning"",""The beds were like sleeping on clouds"",""The Tassimo machine was a lovely touch"",""The bathroom was spacious, spotlessly clean, and super modern"",""The staff were incredibly attentive, helpful, and efficient"",""Best hotel they have ever stayed in""],""suggestions"":""None""}","{'sentiment': 'positive', 'key_points': ['The room was stunning', 'The beds were like sleeping on clouds', 'The Tassimo machine was a lovely touch', 'The bathroom was spacious, spotlessly clean, and super modern', 'The staff were incredibly attentive, helpful, and efficient', 'Best hotel they have ever stayed in'], 'suggestions': 'None'}","['The room was stunning', 'The beds were like sleeping on clouds', 'The Tassimo machine was a lovely touch', 'The bathroom was spacious, spotlessly clean, and super modern', 'The staff were incredibly attentive, helpful, and efficient', 'Best hotel they have ever stayed in']",None,None,-1,0.0,-1
 That I didn t book a longer stay,NEGATIVE,"{""sentiment"":""positive"",""key_points"":[""Satisfaction with the stay"",""Enjoyment of experiences offered""],""suggestions"":""Consider booking a longer stay next time to fully enjoy the experience.""}","{'sentiment': 'positive', 'key_points': ['Satisfaction with the stay', 'Enjoyment of experiences offered'], 'suggestions': 'Consider booking a longer stay next time to fully enjoy the experience.'}","['Satisfaction with the stay', 'Enjoyment of experiences offered']",Consider booking a longer stay next time to fully enjoy the experience.,Consider booking longer stay next time fully enjoy experience.,7,0.07371973069584722,Mejorar algunos amenities en las áreas comunes
 Queue for rooftop bar,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""Long wait times for seating"",""Disorganized queue management"",""Loud environment"",""Limited space on the rooftop""],""suggestions"":""Implement a reservation system to manage queues better.""}","{'sentiment': 'negative', 'key_points': ['Long wait times for seating', 'Disorganized queue management', 'Loud environment', 'Limited space on the rooftop'], 'suggestions': 'Implement a reservation system to manage queues better.'}","['Long wait times for seating', 'Disorganized queue management', 'Loud environment', 'Limited space on the rooftop']",Implement a reservation system to manage queues better.,Implement reservation system manage queues better.,2,0.018691328354915895,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 I wish hotels would allow you to open a window even slightly as this meant air con had to be on but this is a minor thing Loved the hotel ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Loved the hotel"",""Wishes hotels would allow windows to be opened"",""Air conditioning had to be on""],""suggestions"":""Consider allowing windows to be opened slightly for fresh air.""}","{'sentiment': 'positive', 'key_points': ['Loved the hotel', 'Wishes hotels would allow windows to be opened', 'Air conditioning had to be on'], 'suggestions': 'Consider allowing windows to be opened slightly for fresh air.'}","['Loved the hotel', 'Wishes hotels would allow windows to be opened', 'Air conditioning had to be on']",Consider allowing windows to be opened slightly for fresh air.,Consider allowing windows opened slightly fresh air.,-1,0.048267852148193846,-1
 very convenient for ferry breakfast and bar staff very good,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""very convenient for ferry breakfast"",""bar staff very good""]}","{'sentiment': 'positive', 'key_points': ['very convenient for ferry breakfast', 'bar staff very good']}","['very convenient for ferry breakfast', 'bar staff very good']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Excellent location staff really polite and helpful Room was clean and tidy bed really comfortable we had a very enjoyable stay,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Excellent location"",""Staff really polite and helpful"",""Room was clean and tidy"",""Bed really comfortable"",""Very enjoyable stay""]}","{'sentiment': 'positive', 'key_points': ['Excellent location', 'Staff really polite and helpful', 'Room was clean and tidy', 'Bed really comfortable', 'Very enjoyable stay']}","['Excellent location', 'Staff really polite and helpful', 'Room was clean and tidy', 'Bed really comfortable', 'Very enjoyable stay']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 breakfast was luke warm but excellent range of food,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""breakfast was excellent"",""wide range of food options""],""suggestions"":""Ensure food is served hot.""}","{'sentiment': 'positive', 'key_points': ['breakfast was excellent', 'wide range of food options'], 'suggestions': 'Ensure food is served hot.'}","['breakfast was excellent', 'wide range of food options']",Ensure food is served hot.,Ensure food served hot.,2,0.0692831690985592,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Staff were very helpful,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Staff were very helpful""]}","{'sentiment': 'positive', 'key_points': ['Staff were very helpful']}",['Staff were very helpful'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 the parking facility is a little expensive for someone who is already a guest at the hotel,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""parking facility is expensive"",""guest at the hotel""],""suggestions"":""Consider offering discounted parking for hotel guests.""}","{'sentiment': 'negative', 'key_points': ['parking facility is expensive', 'guest at the hotel'], 'suggestions': 'Consider offering discounted parking for hotel guests.'}","['parking facility is expensive', 'guest at the hotel']",Consider offering discounted parking for hotel guests.,Consider offering discounted parking hotel guests.,1,0.10496310829503236,Cuartos con más capacidad de hospedaje
 The ferry they provided to get to the other side where you could get to canary warf,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Ferry provided for transportation"",""Ferry goes to Canary Wharf"",""Neutral experience with ferry""],""suggestions"":""None at this time.""}","{'sentiment': 'neutral', 'key_points': ['Ferry provided for transportation', 'Ferry goes to Canary Wharf', 'Neutral experience with ferry'], 'suggestions': 'None at this time.'}","['Ferry provided for transportation', 'Ferry goes to Canary Wharf', 'Neutral experience with ferry']",None at this time.,None time.,2,0.01223950323409761,Mejorar calidad del aire acondicionado y limpieza de los cuartos
 Cocktail bar post checkout luggage facility We had happy but loud next door guests and were upgraded to Club from Superior Plus without any fuss Great London skyline views from 1219 ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""checked out luggage facility"",""happy but loud next door guests"",""upgraded to Club from Superior Plus"",""great London skyline views from room 1219""]}","{'sentiment': 'positive', 'key_points': ['checked out luggage facility', 'happy but loud next door guests', 'upgraded to Club from Superior Plus', 'great London skyline views from room 1219']}","['checked out luggage facility', 'happy but loud next door guests', 'upgraded to Club from Superior Plus', 'great London skyline views from room 1219']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 the hotel is clean,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""the hotel is clean""]}","{'sentiment': 'positive', 'key_points': ['the hotel is clean']}",['the hotel is clean'],No suggestion,No suggestion,-1,0.13495818573065688,-1
 We were chosen to be given an upgrade to allow us to use the executive facilities which was good We had dinner in the dining room and were happy with the standard of food We were served by a very pleasant young lady from China ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Upgrade to use executive facilities"",""Good standard of food"",""Pleasant service from staff member""],""suggestions"":""Continue to provide high-quality service and maintain food standards.""}","{'sentiment': 'positive', 'key_points': ['Upgrade to use executive facilities', 'Good standard of food', 'Pleasant service from staff member'], 'suggestions': 'Continue to provide high-quality service and maintain food standards.'}","['Upgrade to use executive facilities', 'Good standard of food', 'Pleasant service from staff member']",Continue to provide high-quality service and maintain food standards.,Continue provide high-quality service maintain food standards.,5,0.10201922263874705,Mejorar la calidad de atención del personal
 Polite staff Comfortable room Close to where we needed to be,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Polite staff"",""Comfortable room"",""Close to where we needed to be""]}","{'sentiment': 'positive', 'key_points': ['Polite staff', 'Comfortable room', 'Close to where we needed to be']}","['Polite staff', 'Comfortable room', 'Close to where we needed to be']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The hotel facilities were great and the staff were helpful and amazing ,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""hotel facilities"",""great"",""helpful staff"",""amazing staff""]}","{'sentiment': 'positive', 'key_points': ['hotel facilities', 'great', 'helpful staff', 'amazing staff']}","['hotel facilities', 'great', 'helpful staff', 'amazing staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 small and noisy spa no wood on the sauna floor noisy corridor,NEGATIVE,"{""sentiment"":""negative"",""key_points"":[""small spa"",""noisy environment"",""no wood on sauna floor"",""noisy corridor""],""suggestions"":""Consider soundproofing the areas near the spa and sauna, and adding wood flooring in the sauna for a more relaxing atmosphere.""}","{'sentiment': 'negative', 'key_points': ['small spa', 'noisy environment', 'no wood on sauna floor', 'noisy corridor'], 'suggestions': 'Consider soundproofing the areas near the spa and sauna, and adding wood flooring in the sauna for a more relaxing atmosphere.'}","['small spa', 'noisy environment', 'no wood on sauna floor', 'noisy corridor']","Consider soundproofing the areas near the spa and sauna, and adding wood flooring in the sauna for a more relaxing atmosphere.","Consider soundproofing areas near spa sauna, adding wood flooring sauna relaxing atmosphere.",-1,0.08084200191432768,-1
 Everything was fine but rooms heating broken so night one was very cold had to move rooms for a second time First move being caused through failure to allow for my inability to walk far as per my booking request for room on ground floor or near lift a room allocated 4th floor and at the end of a very long corridor everything was taken care of in reporting to front desk It was an inconvenience but it didn t completely spoil our stay ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Rooms heating broken"",""First night was very cold"",""Had to move rooms twice"",""Initial room allocated on 4th floor despite booking request for ground floor or near lift"",""Inconvenience was reported to front desk"",""Inconvenience didn't completely spoil the stay""]}","{'sentiment': 'neutral', 'key_points': ['Rooms heating broken', 'First night was very cold', 'Had to move rooms twice', 'Initial room allocated on 4th floor despite booking request for ground floor or near lift', 'Inconvenience was reported to front desk', ""Inconvenience didn't completely spoil the stay""]}","['Rooms heating broken', 'First night was very cold', 'Had to move rooms twice', 'Initial room allocated on 4th floor despite booking request for ground floor or near lift', 'Inconvenience was reported to front desk', ""Inconvenience didn't completely spoil the stay""]",No suggestion,No suggestion,-1,0.13495818573065688,-1
 The comfort of the lounges The layout of the dining area ,POSITIVE,"{""sentiment"":""neutral"",""key_points"":[""The comfort of the lounges"",""The layout of the dining area""]}","{'sentiment': 'neutral', 'key_points': ['The comfort of the lounges', 'The layout of the dining area']}","['The comfort of the lounges', 'The layout of the dining area']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 I liked the location and the staff,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""liked the location"",""liked the staff""]}","{'sentiment': 'positive', 'key_points': ['liked the location', 'liked the staff']}","['liked the location', 'liked the staff']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Scaffolding around the building typically The room was perfect for a singel traveller but would have been small for two exec double room wifi unstable and signal weak in room wish for more coffee in the room and a minibar No minibar in room ,NEGATIVE,"{""sentiment"":""neutral"",""key_points"":[""Scaffolding around the building"",""Room was perfect for a single traveller"",""Room would be small for two"",""Executive double room"",""Wi-Fi was unstable"",""Weak signal in the room"",""Wished for more coffee"",""No minibar in room""]}","{'sentiment': 'neutral', 'key_points': ['Scaffolding around the building', 'Room was perfect for a single traveller', 'Room would be small for two', 'Executive double room', 'Wi-Fi was unstable', 'Weak signal in the room', 'Wished for more coffee', 'No minibar in room']}","['Scaffolding around the building', 'Room was perfect for a single traveller', 'Room would be small for two', 'Executive double room', 'Wi-Fi was unstable', 'Weak signal in the room', 'Wished for more coffee', 'No minibar in room']",No suggestion,No suggestion,-1,0.13495818573065688,-1
 Breakfast was good Reception staff were very friendly and helpful,POSITIVE,"{""sentiment"":""positive"",""key_points"":[""Breakfast was good"",""Reception staff were very friendly"",""Reception staff were very helpful""]}","{'sentiment': 'positive', 'key_points': ['Breakfast was good', 'Reception staff were very friendly', 'Reception staff were very helpful']}","['Breakfast was good', 'Reception staff were very friendly', 'Reception staff were very helpful']",No suggestion,No suggestion,-1,0.13495818573065688,-1
